dataset,method,n_clusters,top_k,nmae,nrmse,entropy
ml-small,hard,2,10,0.15257086571446962,0.20081096029600198,0.9801324826776309
ml-small,hard,7,10,0.16165040496110547,0.21192901309291204,0.9172947804680938
ml-small,hard,12,10,0.16478415035862254,0.21623769710046728,0.8875462442570663
ml-small,hard,17,10,0.16632195753430484,0.21816590257058843,0.8730250938678379
ml-small,hard,22,10,0.16855541863359855,0.22048762875793337,0.8617181519746714
ml-small,hard,27,10,0.16960029173708108,0.22150901683906293,0.8550804589700212
ml-small,hard,32,10,0.16997268720460212,0.2219427811553611,0.8299353308572996
ml-small,hard,37,10,0.17010897628002125,0.22209985243395153,0.8277574635914332
ml-small,hard,42,10,0.17085220322517505,0.22288527329585223,0.8346516529485128
ml-small,hard,47,10,0.17023949075938746,0.2220481034711672,0.829110655027305
ml-small,hard,52,10,0.1701132245146873,0.22167645008870665,0.8181744549119081
ml-small,hard,57,10,0.16996630042468833,0.22099025511418863,0.7982952113906577
ml-small,hard,62,10,0.17012156546601612,0.22104037718274908,0.8016327433139511
ml-small,hard,67,10,0.17051861748502928,0.2212392724842512,0.8013423410204824
ml-small,hard,72,10,0.17031469008038436,0.22076327708789947,0.797528482983621
ml-small,hard,77,10,0.1701088970994043,0.2203415699209092,0.7965888959720451
ml-small,hard,82,10,0.17007839133384808,0.22026687811722287,0.7978934273011775
ml-small,hard,87,10,0.16996491711180045,0.22004674848443365,0.7992887013796379
ml-small,hard,92,10,0.17004072767258555,0.2199906905925581,0.8012107528442698
ml-small,hard,97,10,0.16996599211943306,0.21984398315638312,0.8018278707965232
ml-1m,hard,2,10,0.17801888043654027,0.22790238278042776,0.9786105609557207
ml-1m,hard,7,10,0.18090999174884087,0.2310387315735313,0.8572542492622798
ml-1m,hard,12,10,0.18247935644719987,0.23308591398180561,0.8311407532222322
ml-1m,hard,17,10,0.1835734920713477,0.23459126113456383,0.825174435650254
ml-1m,hard,22,10,0.1851027731405481,0.23662307680205164,0.8410067657248511
ml-1m,hard,27,10,0.18574005615071423,0.23754263921873883,0.8186770186474799
